SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,64,51,364084,540815,689387,57,6509,493296,717848,77516.8969,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,364084,551119,727887,63,6509,503243,723989,13665.6876,,,
,,,,,,,,,,,,,,
 bmuta,16,64,53,364084,538697,670892,59,6509,491131,718534,32978.6114,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,364084,551589,733528,60,6509,493563,723834,100199.4423,,,
,,,,,,,,,,,,,,
 bmuta,16,64,61,364084,559791,728931,61,6509,496657,723163,13946.4894,,,
,,,,,,,,,,,,,,
 bmuta,16,64,54,364084,539726,678551,60,6509,490327,722056,107437.8887,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,364084,555575,698499,61,6509,494549,718940,36129.8316,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,364084,552011,723649,58,6509,494188,718870,16052.5029,,,
,,,,,,,,,,,,16,8,40
 bmuta,16,64,57,621752,681144,740047,60,6509,499328,720197,33275.0133,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,607827,669796,730858,61,6509,504608,721286,14570.4934,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,607827,669217,731020,61,6509,497662,721286,24351.7561,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,607827,668611,729111,59,6509,497602,721286,17191.3102,,,
,,,,,,,,,,,,,,
 bmuta,16,64,56,607827,667242,726431,60,6509,497212,721286,21715.3392,,,
,,,,,,,,,,,,,,
 bmuta,16,64,56,607827,666930,726549,60,6509,496008,721286,11996.4769,,,
,,,,,,,,,,,,,,
 bmuta,16,64,60,607827,671308,733972,61,6509,501983,721286,11200.8718,,,
,,,,,,,,,,,,,,
 bmuta,16,64,49,657936,707185,755736,58,6509,491283,718422,37861.4427,,,
,,,,,,,,,,,,,,
 bmuta,16,64,54,607827,664634,721835,58,6509,492286,721286,12417.6796,,,
,,,,,,,,,,,,,,
 bmuta,16,64,50,607827,661423,714126,56,6509,488108,721358,29468.5889,,,
,,,,,,,,,,,,16,8,80
 bmuta,16,64,52,607603,662845,717124,56,6509,486125,719306,13806.0885,,,
,,,,,,,,,,,,,,
 bmuta,16,64,56,621752,680446,739371,58,6509,488732,720197,25974.1665,,,
,,,,,,,,,,,,,,
 bmuta,16,64,45,607827,655220,701798,58,6509,490996,721286,31168.9998,,,
,,,,,,,,,,,,,,
 bmuta,16,64,50,607827,660635,713738,56,6509,480660,719391,12916.8828,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,607827,669281,729919,63,6509,504651,721286,32573.0088,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,607827,668165,728448,60,6509,496791,721286,12495.6801,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,607827,668817,729350,59,6509,492468,721286,11294.4724,,,
,,,,,,,,,,,,,,
 bmuta,16,64,51,607827,661018,713893,56,6509,488112,721155,53555.1433,,,
,,,,,,,,,,,,,,
 bmuta,16,64,57,607827,667911,728898,59,6509,497503,721286,12339.6791,,,
,,,,,,,,,,,,,,
 bmuta,16,64,54,607827,665674,723803,58,6509,489159,719584,71152.0561,,,
,,,,,,,,,,,,16,8,160
 bmuta,16,64,40,607827,650623,691719,58,6509,492144,720606,24835.3592,,,
,,,,,,,,,,,,,,
 bmuta,16,64,48,621752,671700,722792,55,6509,479030,717480,31325.0008,,,
,,,,,,,,,,,,,,
 bmuta,16,64,52,621752,675667,729652,56,6509,483639,720197,29764.9908,,,
,,,,,,,,,,,,,,
 bmuta,16,64,58,607827,668327,728135,59,6509,495191,721286,12261.6786,,,
,,,,,,,,,,,,,,
 bmuta,16,64,56,607827,667512,728090,60,6509,497224,721286,11793.6756,,,
,,,,,,,,,,,,,,
 bmuta,16,64,60,607827,671430,734309,62,6509,505367,721286,25755.7651,,,
,,,,,,,,,,,,,,
 bmuta,16,64,56,607827,667181,726622,59,6509,494452,721286,11497.2737,,,
,,,,,,,,,,,,,,
 bmuta,16,64,48,657936,707291,755280,60,6509,496747,718422,22994.5474,,,
,,,,,,,,,,,,,,
 bmuta,16,64,53,665543,719489,771646,56,6509,492581,718309,32120.6059,,,
,,,,,,,,,,,,,,
 bmuta,16,64,54,621752,677391,732317,56,6509,486273,717572,12308.4789,,,
,,,,,,,,,,,,8,4,40
 bmuta,16,128,123,66743,362282,722160,124,16636,344579,725899,43352.6779,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,66743,354932,724696,120,16636,331223,723625,11450.4734,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,66743,362691,735236,123,16636,341379,732724,24616.9578,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,66743,366820,755413,124,16636,339595,719464,12870.0825,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,66743,361041,723833,124,16636,341317,732111,47954.7074,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,66743,369999,757463,124,16636,340217,719464,14757.6946,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,66743,356349,721568,123,16636,340419,726262,29437.3887,,,
,,,,,,,,,,,,,,
 bmuta,16,128,122,66743,365799,719999,125,16636,344716,717346,12183.6781,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,66743,351205,700999,124,16636,341551,728736,74365.6767,,,
,,,,,,,,,,,,,,
 bmuta,16,128,110,66743,323580,648803,122,16636,336526,718181,118061.5568,,,
,,,,,,,,,,,,8,4,80
 bmuta,16,128,122,66743,366047,735372,130,16636,361999,735235,107968.2921,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,66743,362103,736349,123,16636,340151,732776,25350.1625,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,66743,363764,738413,125,16636,344511,734401,11544.074,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,66743,366605,737255,126,16636,348206,734830,100917.0469,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,66743,365332,736386,122,16636,341108,731399,23088.148,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,66743,359607,723329,126,16636,345488,727186,18782.5204,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,66743,346441,732456,124,16636,326104,730354,18720.12,,,
,,,,,,,,,,,,,,
 bmuta,16,128,115,66743,320074,644024,125,16636,328390,721733,70153.6497,,,
,,,,,,,,,,,,,,
 bmuta,16,128,126,66743,349779,720214,127,16636,332134,723681,39078.2505,,,
,,,,,,,,,,,,,,
 bmuta,16,128,125,66743,354196,736058,125,16636,329971,729150,11996.4769,,,
,,,,,,,,,,,,8,4,160
 bmuta,16,128,123,66743,345076,722243,125,16636,328418,730389,13993.2897,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,66743,339734,712663,122,16636,323251,716977,69092.8429,,,
,,,,,,,,,,,,,,
 bmuta,16,128,116,66743,325888,710456,120,16636,316994,725879,31262.6004,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,66743,342323,734328,122,16636,320541,720598,13650.0875,,,
,,,,,,,,,,,,,,
 bmuta,16,128,115,66743,319436,660253,125,16636,328107,717492,14492.4929,,,
,,,,,,,,,,,,,,
